Id,Input,Label
1211,0.14677+0.017823i,3
1212,-0.1666+1.0538i,1
1213,0.43681+1.058i,1
1214,0.65141+1.2222i,1
1215,-0.93797-0.69369i,1
1216,-0.43057+0.82623i,3
1217,-0.18032+0.88742i,3
1218,0.1031-0.23103i,2
1219,1.3359+1.0621i,1
1220,-0.22477+0.12993i,2
1221,-0.95657+0.026801i,3
1222,-0.26309-0.16753i,3
1223,-0.93475-0.27617i,3
1224,-0.20885+0.31631i,3
1225,-0.45031-1.4416i,3
1226,-0.42754-0.71056i,2
1227,-0.66542+1.2189i,3
1228,1.2064+1.5484i,1
1229,-0.73784-0.67768i,1
1230,0.031473+0.61704i,3
1231,0.23654-0.015937i,3
1232,0.35329-0.15271i,3
1233,-0.08373-1.6909i,2
1234,-0.16869-0.98132i,2
1235,-0.93288+0.55262i,1
1236,-0.51611-0.56725i,3
1237,0.21213+1.1311i,2
1238,0.65529+1.032i,1
1239,-0.42249-0.956i,2
1240,1.0824-0.95146i,1
1241,-0.064374+0.047661i,3
1242,-1.0262+0.77238i,2
1243,-1.4847+0.62541i,1
1244,0.15817-0.5069i,2
1245,-0.80598+1.2821i,1
1246,-0.78099-0.5017i,3
1247,-0.93277+0.053726i,2
1248,-0.39402+0.16753i,2
1249,1.2913+0.84324i,2
1250,0.76746-0.30101i,3
1251,-0.83446+0.53983i,1
1252,0.75455+1.1379i,2
1253,-0.022078+0.081705i,3
1254,0.82193+0.54341i,1
1255,-1.1397+2.3454i,2
1256,-0.23834-0.57351i,3
1257,-0.91615-0.75619i,3
1258,0.0028383-1.1948i,1
1259,0.34088+0.2487i,1
1260,0.22956-0.14951i,2
1261,1.0479-0.98808i,1
1262,-1.4889-1.0519i,3
1263,0.42438-1.2231i,1
1264,1.3004+0.49557i,1
1265,0.24988+0.58941i,1
1266,-0.57496-0.092609i,2
1267,-1.2842-1.044i,2
1268,-0.19662+0.13447i,3
1269,-1.3714+0.66i,1
1270,-0.37382-1.6162i,2
1271,0.75497+0.7367i,2
1272,-0.82464+0.49489i,3
1273,-0.59055-0.41466i,2
1274,0.35808-0.61919i,2
1275,-1.6224-1.1284i,1
1276,0.83871+1.0739i,1
1277,-0.53489-0.5289i,1
1278,1.0207-0.29057i,1
1279,0.88104-0.77516i,1
1280,1.6937-0.025652i,1
1281,0.065291+0.11471i,3
1282,0.83787+0.64789i,3
1283,1.018+0.67015i,1
1284,-0.84199-1.8557i,2
1285,-0.43066+0.41483i,2
1286,0.075481+1.6045i,2
1287,0.41368+1.2621i,3
1288,-0.082243+0.40952i,2
1289,0.56915+0.14252i,1
1290,-1.2397-0.96891i,1
1291,-0.4272-1.0526i,3
1292,-1.156-1.2085i,2
1293,-0.78807+1.1581i,2
1294,-1.1125+0.055076i,2
1295,-0.707+1.2499i,3
1296,-0.56726+1.2859i,2
1297,1.2255-1.2218i,1
1298,0.38105-0.89064i,3
1299,-1.072+0.37231i,3
1300,1.3534-0.68441i,2
1301,0.79611+1.0454i,2
1302,-0.32894+0.82799i,2
1303,0.83026-0.56181i,1
1304,0.25557-0.81977i,3
1305,0.94114+1.2896i,1
1306,-0.4341-0.86199i,3
1307,1.5909+0.66095i,1
1308,0.90951-0.50468i,2
1309,0.23962-0.71005i,1
1310,-0.45246-0.38697i,3
1311,-0.80755-1.0675i,1
1312,0.62468+0.13804i,2
1313,0.76-1.1505i,1
1314,-0.35758+0.5109i,1
1315,-0.46674-0.16244i,1
1316,-1.1466+0.62298i,2
1317,0.14764+0.053175i,3
1318,-0.78989+1.3087i,1
1319,0.65004-0.2491i,3
1320,-0.67664-0.067703i,1
1321,1.1399-0.46934i,2
1322,0.16891-1.4841i,3
1323,0.92579+1.4104i,3
1324,-0.50338+0.17161i,3
1325,-0.013103-0.55288i,2
1326,0.83106+0.056274i,3
1327,-0.50434+0.37563i,1
1328,-0.52401-0.36642i,3
1329,-0.90162+1.052i,1
1330,-0.26462+1.0894i,1
1331,-1.2444+0.76447i,2
1332,-0.22337+0.27856i,2
1333,1.4528+0.90003i,3
1334,0.057761-0.35456i,2
1335,-0.30933+0.98927i,1
1336,-1.0793+0.11755i,1
1337,-0.040829-0.84402i,3
1338,-0.7803-0.54884i,1
1339,0.43647+1.3875i,1
1340,-0.23845+0.91632i,2
1341,-0.98839+0.33502i,2
1342,0.91766+1.4906i,3
1343,0.18099-0.49003i,3
1344,0.94175-0.65667i,3
1345,-0.82835+0.77383i,1
1346,-0.50523+0.1119i,1
1347,0.75894+0.18199i,1
1348,0.53226-0.32439i,1
1349,0.48605-0.23801i,1
1350,0.23233-0.38709i,3
1351,-0.80814-0.075066i,1
1352,-0.73835-0.62859i,1
1353,1.1973+0.54778i,1
1354,-0.83062+1.1486i,3
1355,-0.90291-1.414i,2
1356,0.45257+1.121i,2
1357,-0.41902-1.2441i,3
1358,0.85333+0.59082i,3
1359,1.2515+0.32661i,3
1360,-0.71431-0.31102i,2
1361,-0.090936-0.82136i,3
1362,-0.77509+0.96098i,1
1363,-0.44417-0.54992i,3
1364,-0.55957-1.1096i,3
1365,-0.52793+0.41409i,2
1366,0.95824-0.1478i,1
1367,-0.29606-0.59176i,1
1368,0.037172+0.38845i,2
1369,0.61849-1.1272i,2
1370,-1.0823-0.50199i,3
1371,-0.36987+0.030449i,2
1372,1.109-0.79894i,2
1373,1.0278+0.51846i,1
1374,-0.75177-0.85982i,2
1375,-0.32642-0.45693i,2
1376,0.91369+0.7503i,3
1377,-0.94193-0.015767i,3
1378,1.8035-1.5213i,2
